App Name: MessengerSMSMMS
Number of Permissions: 55
Permissions List:
1. android.permission.RECEIVE_BOOT_COMPLETED
2. android.permission.CALL_PHONE
3. android.permission.READ_CONTACTS
4. android.permission.WRITE_CONTACTS
5. android.permission.READ_PROFILE
6. android.permission.RECEIVE_SMS
7. android.permission.RECEIVE_MMS
8. android.permission.SEND_SMS
9. android.permission.VIBRATE
10. android.permission.INTERNET
11. android.permission.READ_SMS
12. android.permission.WRITE_SMS
13. android.permission.ACCESS_WIFI_STATE
14. android.permission.ACCESS_NETWORK_STATE
15. android.permission.CHANGE_WIFI_STATE
16. android.permission.CHANGE_NETWORK_STATE
17. android.permission.READ_PHONE_STATE
18. android.permission.WAKE_LOCK
19. android.permission.READ_EXTERNAL_STORAGE
20. android.permission.WRITE_EXTERNAL_STORAGE
21. android.permission.INSTALL_DRM
22. android.permission.WRITE_APN_SETTINGS
23. android.permission.WRITE_SETTINGS
24. android.permission.MMS_SEND_OUTBOX_MSG
25. android.permission.GET_TASKS
26. android.permission.SYSTEM_ALERT_WINDOW
27. android.permission.SYSTEM_OVERLAY_WINDOW
28. android.permission.GLOBAL_SEARCH
29. com.android.browser.permission.READ_HISTORY_BOOKMARKS
30. android.permission.CAMERA
31. android.permission.ACCESS_COARSE_LOCATION
32. android.permission.ACCESS_FINE_LOCATION
33. android.permission.MODIFY_AUDIO_SETTINGS
34. android.permission.RECORD_AUDIO
35. com.android.vending.BILLING
36. android.permission.RESTART_PACKAGES
37. com.android.launcher.permission.INSTALL_SHORTCUT
38. android.permission.RECEIVE_WAP_PUSH
39. com.google.android.gms.permission.ACTIVITY_RECOGNITION
40. android.permission.READ_CALENDAR
41. android.permission.WRITE_CALENDAR
42. android.permission.GET_ACCOUNTS
43. android.permission.BLUETOOTH
44. android.permission.BLUETOOTH_ADMIN
45. android.permission.NFC
46. android.permission.PACKAGE_USAGE_STATS
47. android.permission.FLASHLIGHT
48. android.permission.DISABLE_KEYGUARD
49. com.android.launcher.permission.READ_SETTINGS
50. com.android.launcher.permission.UNINSTALL_SHORTCUT
51. com.google.android.c2dm.permission.RECEIVE
52. com.link.messages.sms.permission.C2D_MESSAGE
53. android.permission.PROCESS_OUTGOING_CALLS
54. android.permission.READ_CALL_LOG
55. android.permission.BATTERY_STATS

